NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
USA;2016;Summer;Swimming;71;9
USA;2012;Summer;Swimming;68;9
USA;2008;Summer;Swimming;68;9
USA;2000;Summer;Swimming;66;9
USA;2004;Summer;Swimming;65;9
AUS;2008;Summer;Swimming;54;22
USA;2016;Summer;Athletics;46;9
AUS;2000;Summer;Swimming;46;22
SWE;2006;Winter;Ice Hockey;44;15
CAN;2014;Winter;Ice Hockey;44;-5
USA;2010;Winter;Ice Hockey;43;9
USA;2002;Winter;Ice Hockey;43;9
CAN;2010;Winter;Ice Hockey;43;-5
USA;2012;Summer;Athletics;42;9
CAN;2002;Winter;Ice Hockey;42;-5
FIN;2010;Winter;Ice Hockey;41;2
USA;2004;Summer;Athletics;38;9
BRA;2008;Summer;Football;35;25
GER;2016;Summer;Football;35;9
NED;2012;Summer;Hockey;33;9
GER;2016;Summer;Hockey;33;9
AUS;2016;Summer;Swimming;32;22
AUS;2012;Summer;Swimming;32;22
USA;2008;Summer;Athletics;32;9
NED;2000;Summer;Hockey;32;9
GER;2004;Summer;Hockey;32;9
AUS;2000;Summer;Hockey;32;22
NED;2004;Summer;Hockey;32;9
AUS;2004;Summer;Swimming;31;22
FRA;2016;Summer;Handball;31;11
JAM;2016;Summer;Athletics;30;25
NED;2014;Winter;Speed Skating;28;9
GBR;2012;Summer;Rowing;28;12
USA;2000;Summer;Athletics;28;9
RUS;2004;Summer;Athletics;27;-5
GBR;2016;Summer;Rowing;26;12
ITA;2016;Summer;Water Polo;26;13
USA;2008;Summer;Water Polo;26;9
RUS;2008;Summer;Athletics;25;-5
JAM;2012;Summer;Athletics;25;25
RUS;2000;Summer;Water Polo;25;-5
RUS;2000;Summer;Gymnastics;25;-5
USA;2008;Summer;Volleyball;24;9
CUB;2000;Summer;Baseball;24;25
BRA;2012;Summer;Volleyball;24;25
USA;2000;Summer;Baseball;24;9
CHN;2008;Summer;Gymnastics;24;11
ESP;2016;Summer;Basketball;24;13
USA;2012;Summer;Basketball;24;9
JPN;2004;Summer;Baseball;24;11
USA;2008;Summer;Baseball;24;9
USA;2004;Summer;Basketball;24;9
RUS;2000;Summer;Volleyball;24;-5
CUB;2004;Summer;Baseball;24;25
SRB;2016;Summer;Basketball;24;11
FIN;2014;Winter;Ice Hockey;24;2
AUS;2004;Summer;Baseball;24;22
CUB;2008;Summer;Baseball;24;25
KOR;2008;Summer;Baseball;24;12
KOR;2000;Summer;Baseball;24;12
USA;2008;Summer;Basketball;24;9
BRA;2008;Summer;Volleyball;24;25
USA;2016;Summer;Basketball;24;9
CZE;2006;Winter;Ice Hockey;24;4
USA;2016;Summer;Volleyball;24;9
JAM;2000;Summer;Athletics;23;25
GBR;2008;Summer;Rowing;23;12
USA;2000;Summer;Basketball;23;9
SWE;2014;Winter;Ice Hockey;23;19
RUS;2012;Summer;Athletics;23;-5
FIN;2006;Winter;Ice Hockey;23;2
RUS;2004;Summer;Volleyball;22;-5
RUS;2002;Winter;Ice Hockey;21;-5
AUS;2000;Summer;Rowing;21;22
FRA;2012;Summer;Swimming;21;11
GBR;2016;Summer;Cycling;20;12
USA;2014;Winter;Ice Hockey;20;9
NED;2004;Summer;Rowing;20;9
SWE;2002;Winter;Ice Hockey;20;19
