NOCM;YEARM;M
AFG;2004;3
AFG;2008;3
AFG;2012;5
AFG;2016;2
AHO;2000;7
AHO;2004;3
AHO;2008;4
ALB;2000;2
ALB;2004;5
ALB;2006;3
ALB;2008;7
ALB;2010;2
ALB;2012;7
ALB;2016;3
ALG;2000;41
ALG;2004;54
ALG;2006;1
ALG;2008;35
ALG;2010;1
ALG;2012;22
ALG;2016;61
AND;2000;3
AND;2002;3
AND;2004;4
AND;2006;10
AND;2008;3
AND;2010;13
AND;2012;4
AND;2014;7
AND;2016;2
ANG;2000;15
ANG;2004;14
ANG;2008;18
ANG;2012;6
ANG;2016;8
ANT;2000;2
ANT;2004;3
ANT;2008;4
ANT;2012;2
ANT;2016;7
ARG;2000;113
ARG;2002;15
ARG;2004;124
ARG;2006;8
ARG;2008;89
ARG;2010;8
ARG;2012;103
ARG;2014;11
ARG;2016;150
ARM;2000;24
ARM;2002;9
ARM;2004;17
ARM;2006;8
ARM;2008;24
ARM;2010;3
ARM;2012;27
ARM;2014;5
ARM;2016;24
ARU;2000;3
ARU;2004;3
ARU;2008;2
ARU;2012;3
ARU;2016;3
ASA;2000;3
ASA;2004;2
ASA;2008;2
ASA;2012;3
ASA;2016;3
AUS;2000;420
AUS;2002;22
AUS;2004;327
AUS;2006;27
AUS;2008;299
AUS;2010;26
AUS;2012;271
AUS;2014;41
AUS;2016;255
AUT;2000;69
AUT;2002;116
AUT;2004;66
AUT;2006;99
AUT;2008;55
AUT;2010;91
AUT;2012;52
AUT;2014;139
AUT;2016;45
AZE;2000;25
AZE;2002;3
AZE;2004;30
AZE;2006;1
AZE;2008;30
AZE;2010;2
AZE;2012;43
AZE;2014;3
AZE;2016;53
BAH;2000;24
BAH;2004;16
BAH;2008;22
BAH;2012;16
BAH;2016;21
BAN;2000;2
BAN;2004;3
BAN;2008;3
BAN;2012;6
BAN;2016;4
BAR;2000;18
BAR;2004;14
BAR;2008;8
BAR;2012;8
BAR;2016;8
BDI;2000;5
BDI;2004;5
BDI;2008;1
BDI;2012;2
BDI;2016;6
BEL;2000;40
BEL;2002;13
BEL;2004;44
BEL;2006;8
BEL;2008;90
BEL;2010;6
BEL;2012;93
BEL;2014;6
BEL;2016;85
BEN;2000;3
BEN;2004;2
BEN;2008;3
BEN;2012;4
BEN;2016;4
BER;2000;5
BER;2002;1
BER;2004;5
BER;2006;1
BER;2008;2
BER;2010;1
BER;2012;5
BER;2014;1
BER;2016;4
BHU;2000;1
BHU;2004;1
BHU;2008;1
BIH;2000;9
BIH;2002;4
BIH;2004;9
BIH;2006;5
BIH;2008;6
BIH;2010;3
BIH;2012;6
BIH;2014;9
BIH;2016;7
BIZ;2000;1
BIZ;2004;1
BIZ;2008;3
BIZ;2012;2
BIZ;2016;2
BLR;2000;128
BLR;2002;76
BLR;2004;105
BLR;2006;28
BLR;2008;141
BLR;2010;53
BLR;2012;99
BLR;2014;42
BLR;2016;65
BOL;2000;3
BOL;2004;4
BOL;2008;4
BOL;2012;3
BOL;2016;6
BOT;2000;9
BOT;2004;11
BOT;2008;9
BOT;2012;3
BOT;2016;11
BRA;2000;133
BRA;2002;8
BRA;2004;158
BRA;2006;9
BRA;2008;172
BRA;2010;3
BRA;2012;162
BRA;2014;7
BRA;2016;324
BRN;2000;2
BRN;2004;7
BRN;2008;12
BRN;2012;4
BRN;2016;20
BRU;2000;2
BRU;2004;1
BRU;2012;2
BRU;2016;2
BUL;2000;103
BUL;2002;26
BUL;2004;67
BUL;2006;19
BUL;2008;52
BUL;2010;26
BUL;2012;39
BUL;2014;37
BUL;2016;33
BUR;2000;3
BUR;2004;3
BUR;2008;3
BUR;2012;2
BUR;2016;3
CAF;2000;1
CAF;2004;2
CAF;2008;2
CAF;2012;3
CAF;2016;3
CAM;2000;2
CAM;2004;2
CAM;2008;2
CAM;2012;3
CAM;2016;2
CAN;2000;198
CAN;2002;114
CAN;2004;200
CAN;2006;169
CAN;2008;261
CAN;2010;170
CAN;2012;146
CAN;2014;201
CAN;2016;151
CAY;2000;1
CAY;2004;5
CAY;2008;5
CAY;2010;1
CAY;2012;7
CAY;2014;2
CAY;2016;3
CGO;2000;3
CGO;2004;2
CGO;2008;3
CGO;2012;4
CGO;2016;7
CHA;2000;1
CHA;2008;1
CHA;2016;1
CHI;2000;50
CHI;2002;8
CHI;2004;21
CHI;2006;10
CHI;2008;22
CHI;2010;5
CHI;2012;26
CHI;2014;8
CHI;2016;26
CHN;2000;159
CHN;2002;35
CHN;2004;201
CHN;2006;65
CHN;2008;376
CHN;2010;44
CHN;2012;212
CHN;2014;43
CHN;2016;204
CIV;2000;9
CIV;2004;2
CIV;2008;20
CIV;2012;4
CIV;2016;6
CMR;2000;28
CMR;2002;2
CMR;2004;10
CMR;2008;25
CMR;2012;10
CMR;2016;5
COD;2000;1
COD;2004;5
COD;2008;4
COD;2012;3
COD;2016;2
COK;2000;1
COK;2004;2
COK;2008;3
COK;2012;4
COK;2016;4
COL;2000;30
COL;2004;43
COL;2008;57
COL;2012;56
COL;2016;81
COM;2000;1
COM;2004;2
COM;2008;2
COM;2012;1
COM;2016;2
CPV;2000;1
CPV;2004;2
CPV;2008;1
CPV;2012;1
CPV;2016;2
CRC;2000;6
CRC;2002;2
CRC;2004;17
CRC;2006;1
CRC;2008;6
CRC;2012;8
CRC;2016;7
CRO;2000;76
CRO;2002;17
CRO;2004;76
CRO;2006;29
CRO;2008;95
CRO;2010;27
CRO;2012;69
CRO;2014;16
CRO;2016;69
CUB;2000;179
CUB;2004;116
CUB;2008;110
CUB;2012;70
CUB;2016;100
CYP;2000;19
CYP;2002;2
CYP;2004;14
CYP;2006;2
CYP;2008;7
CYP;2010;2
CYP;2012;9
CYP;2014;2
CYP;2016;14
CZE;2000;111
CZE;2002;109
CZE;2004;95
CZE;2006;117
CZE;2008;87
CZE;2010;120
CZE;2012;81
CZE;2014;115
CZE;2016;79
DEN;2000;68
DEN;2002;5
DEN;2004;59
DEN;2008;76
DEN;2010;13
DEN;2012;76
DEN;2014;11
DEN;2016;82
DJI;2000;1
DJI;2008;1
DJI;2012;2
DJI;2016;7
DMA;2000;2
DMA;2004;1
DMA;2008;2
DMA;2012;1
DMA;2014;1
DMA;2016;1
DOM;2000;11
DOM;2004;17
DOM;2008;19
DOM;2012;15
DOM;2016;22
ECU;2000;8
ECU;2004;12
ECU;2008;18
ECU;2012;23
ECU;2016;24
EGY;2000;85
EGY;2004;88
EGY;2008;82
EGY;2012;87
EGY;2016;91
ERI;2000;2
ERI;2004;4
ERI;2008;9
ERI;2012;11
ERI;2016;11
ESA;2000;5
ESA;2004;2
ESA;2008;4
ESA;2012;5
ESA;2016;7
ESP;2000;283
ESP;2002;10
ESP;2004;239
ESP;2006;12
ESP;2008;209
ESP;2010;20
ESP;2012;203
ESP;2014;28
ESP;2016;191
EST;2000;38
EST;2002;41
EST;2004;33
EST;2006;39
EST;2008;36
EST;2010;37
EST;2012;25
EST;2014;46
EST;2016;28
ETH;2000;15
ETH;2004;15
ETH;2006;1
ETH;2008;15
ETH;2010;1
ETH;2012;18
ETH;2016;17
FIJ;2000;5
FIJ;2002;2
FIJ;2004;5
FIJ;2008;4
FIJ;2012;6
FIJ;2016;36
FIN;2000;51
FIN;2002;102
FIN;2004;44
FIN;2006;93
FIN;2008;38
FIN;2010;93
FIN;2012;32
FIN;2014;95
FIN;2016;34
FRA;2000;296
FRA;2002;127
FRA;2004;286
FRA;2006;90
FRA;2008;266
FRA;2010;125
FRA;2012;243
FRA;2014;127
FRA;2016;295
FSM;2000;3
FSM;2004;3
FSM;2008;3
FSM;2012;4
FSM;2016;2
GAB;2000;4
GAB;2004;3
GAB;2008;2
GAB;2012;19
GAB;2016;4
GAM;2000;1
GAM;2004;2
GAM;2008;2
GAM;2012;1
GAM;2016;3
GBR;2000;232
GBR;2002;44
GBR;2004;196
GBR;2006;32
GBR;2008;211
GBR;2010;48
GBR;2012;350
GBR;2014;47
GBR;2016;266
GBS;2000;2
