NOC;YEAR;F
AFG;2004;2
AFG;2008;1
AFG;2012;1
AFG;2016;1
AHO;2000;1
ALB;2000;3
ALB;2004;2
ALB;2008;5
ALB;2012;3
ALB;2014;2
ALB;2016;3
ALG;2000;10
ALG;2004;17
ALG;2006;2
ALG;2008;22
ALG;2012;17
ALG;2016;13
AND;2000;2
AND;2002;2
AND;2004;2
AND;2008;2
AND;2010;7
AND;2012;2
AND;2014;5
AND;2016;2
ANG;2000;15
ANG;2004;16
ANG;2008;15
ANG;2012;29
ANG;2016;18
ANT;2000;2
ANT;2004;2
ANT;2008;1
ANT;2012;2
ANT;2016;2
ARG;2000;52
ARG;2002;11
ARG;2004;55
ARG;2006;9
ARG;2008;56
ARG;2010;12
ARG;2012;45
ARG;2014;9
ARG;2016;82
ARM;2000;2
ARM;2002;8
ARM;2004;2
ARM;2006;1
ARM;2008;2
ARM;2010;3
ARM;2012;4
ARM;2014;1
ARM;2016;10
ARU;2000;2
ARU;2004;1
ARU;2012;1
ARU;2016;4
ASA;2000;1
ASA;2004;1
ASA;2008;2
ASA;2012;1
ASA;2016;1
AUS;2000;368
AUS;2002;19
AUS;2004;274
AUS;2006;18
AUS;2008;271
AUS;2010;23
AUS;2012;243
AUS;2014;43
AUS;2016;263
AUT;2000;45
AUT;2002;32
AUT;2004;26
AUT;2006;33
AUT;2008;38
AUT;2010;41
AUT;2012;38
AUT;2014;74
AUT;2016;40
AZE;2000;7
AZE;2002;1
AZE;2004;7
AZE;2006;1
AZE;2008;14
AZE;2010;2
AZE;2012;16
AZE;2014;1
AZE;2016;16
BAH;2000;15
BAH;2004;12
BAH;2008;11
BAH;2012;13
BAH;2016;17
BAN;2000;4
BAN;2004;1
BAN;2008;2
BAN;2012;1
BAN;2016;3
BAR;2000;10
BAR;2004;1
BAR;2008;2
BAR;2016;5
BDI;2000;1
BDI;2004;2
BDI;2008;2
BDI;2012;4
BDI;2016;4
BEL;2000;54
BEL;2004;26
BEL;2008;22
BEL;2010;4
BEL;2012;49
BEL;2014;5
BEL;2016;53
BEN;2000;1
BEN;2004;2
BEN;2008;2
BEN;2012;1
BEN;2016;2
BER;2000;2
BER;2004;5
BER;2008;4
BER;2012;3
BER;2016;4
BHU;2000;1
BHU;2004;1
BHU;2008;1
BHU;2012;2
BHU;2016;2
BIH;2000;2
BIH;2004;2
BIH;2006;4
BIH;2008;1
BIH;2010;7
BIH;2012;2
BIH;2014;5
BIH;2016;4
BIZ;2000;1
BIZ;2004;1
BIZ;2008;1
BIZ;2012;1
BIZ;2016;1
BLR;2000;103
BLR;2002;47
BLR;2004;87
BLR;2006;42
BLR;2008;96
BLR;2010;42
BLR;2012;86
BLR;2014;30
BLR;2016;77
BOL;2000;2
BOL;2004;7
BOL;2008;3
BOL;2012;2
BOL;2016;6
BOT;2004;1
BOT;2008;2
BOT;2012;1
BOT;2016;3
BRA;2000;103
BRA;2002;2
BRA;2004;160
BRA;2006;3
BRA;2008;166
BRA;2010;4
BRA;2012;144
BRA;2014;10
BRA;2016;259
BRN;2000;2
BRN;2004;3
BRN;2008;3
BRN;2012;10
BRN;2016;13
BRU;2012;1
BRU;2016;1
BUL;2000;47
BUL;2002;28
BUL;2004;52
BUL;2006;25
BUL;2008;35
BUL;2010;15
BUL;2012;36
BUL;2014;10
BUL;2016;25
BUR;2000;1
BUR;2004;2
BUR;2008;3
BUR;2012;3
BUR;2016;2
CAF;2000;2
CAF;2004;2
CAF;2008;1
CAF;2012;3
CAF;2016;3
CAM;2000;2
CAM;2004;2
CAM;2008;2
CAM;2012;3
CAM;2016;4
CAN;2000;224
CAN;2002;101
CAN;2004;191
CAN;2006;136
CAN;2008;188
CAN;2010;138
CAN;2012;208
CAN;2014;158
CAN;2016;254
CAY;2000;3
CAY;2004;3
CAY;2008;1
CAY;2016;2
CGO;2000;2
CGO;2004;3
CGO;2008;2
